,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,2595,https://www.airbnb.com/rooms/2595,20241104040953,2024-11-04,city scrape,Skylit Midtown Castle Sanctuary,"Beautiful, spacious skylit studio in the heart of Midtown, Manhattan. <br /><br />1 BED / FULL BATH / FULL KITCHEN / CENTRALLY LOCATED / HIGH SPEED WIFI","Centrally located in the heart of Manhattan just a few blocks from all subway connections in the very desirable Midtown location a few minutes walk to Times Square, the Theater District, Bryant Park and Herald Square.",https://a0.muscache.com/pictures/miso/Hosting-2595/original/9e5435f8-414f-4ebe-b104-679e942a60ef.jpeg,2845,https://www.airbnb.com/users/show/2845,Jennifer,2008-09-09,"Woodstock, NY","A New Yorker since 2000! My passion is creating beautiful, unique spaces where unforgettable memories are made. It's my pleasure to host people from around the world and meet new faces. Welcome travelers! 

I am a Sound Therapy Practitioner and Kundalini Yoga & Meditation teacher. I work with energy and sound for relaxation and healing, using Symphonic gong, singing bowls, tuning forks, drums, voice and other instruments.

Any questions, please text or call Jennifer at 646.498.8710.",within a day,90%,21%,f,https://a0.muscache.com/im/pictures/user/50fc57af-a6a3-4e88-8f16-efd6cac7c9bc.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/50fc57af-a6a3-4e88-8f16-efd6cac7c9bc.jpg?aki_policy=profile_x_medium,Midtown,7.0,9.0,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Midtown,Manhattan,40.75356,-73.98559,Entire rental unit,Entire home/apt,1,1.0,1 bath,0.0,1.0,"[""Fire extinguisher"", ""Smoke alarm"", ""Stove"", ""Air conditioning"", ""Paid parking off premises"", ""Extra pillows and blankets"", ""Self check-in"", ""Wifi"", ""Hair dryer"", ""Free street parking"", ""TV"", ""Heating"", ""Dishes and silverware"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Bed linens"", ""Baking sheet"", ""Dedicated workspace"", ""Iron"", ""Hot water"", ""Coffee maker"", ""Keypad"", ""Refrigerator"", ""Ethernet connection"", ""Cleaning available during stay"", ""Bathtub"", ""Luggage dropoff allowed"", ""Cooking basics"", ""Essentials"", ""Hangers"", ""Kitchen"", ""Oven""]",$240.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,,t,30,60,90,365,2024-11-04,49,0,0,2009-11-21,2022-06-21,4.68,4.73,4.63,4.77,4.8,4.81,4.4,,f,3,3,0,0,0.27
11,12192,https://www.airbnb.com/rooms/12192,20241104040953,2024-11-04,city scrape,ENJOY Downtown NYC!,"Easy access to all downtown has to offer!  One of the least expensive stays in all of Manhattan. East Village is known for being trendy, artsy, and home to diverse food, clubs, dives, street art, and the cultural heart of New York City. <br /><br />Apartment is in back of building and relatively quiet. Fast Wifi. Desk. Shared kitchen. Good fit for internship, relocating, or visit to NYC. <br /><br />Subways F, L, N, R, W, 6 within walking distance. Bus on corner. Citi Bike Station & laundry mat 1 block away.","Enjoy great food, music, unique shops, night-life and a relaxed artistic vibe in the East Village.  Walk to Union Square, Chinatown, and all downtown NYC attractions. Located just two blocks from Tompkins Square Park.",https://a0.muscache.com/pictures/miso/Hosting-12192/original/0eea0b5f-5217-4aec-a206-c487234a6c6a.jpeg,46978,https://www.airbnb.com/users/show/46978,Edward,2009-10-19,"New York, NY","I am an actor & adventurer originally from Toronto who loves to travel and share experiences with people.  I love food, good conversation, and positive participation.  Its an honor to be part of this awesome community of individuals!",within a few hours,100%,88%,f,https://a0.muscache.com/im/users/46978/profile_pic/1426788156/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/46978/profile_pic/1426788156/original.jpg?aki_policy=profile_x_medium,Alphabet City,2.0,3.0,"['email', 'phone']",t,f,Neighborhood highlights,East Village,Manhattan,40.72296,-73.98383,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Lock on bedroom door"", ""Smoke alarm"", ""Stove"", ""Self check-in"", ""Wifi"", ""Hair dryer"", ""Free street parking"", ""TV"", ""Heating"", ""Dishes and silverware"", ""Microwave"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Iron"", ""Free parking on premises"", ""Hot water"", ""Coffee maker"", ""Refrigerator"", ""Lockbox"", ""Shampoo"", ""Host greets you"", ""Cooking basics"", ""Essentials"", ""Hangers"", ""First aid kit"", ""Kitchen"", ""Window AC unit"", ""Oven""]",$75.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,,t,1,3,33,123,2024-11-04,316,2,0,2009-10-27,2024-01-08,4.4,4.6,4.06,4.81,4.85,4.71,4.53,,f,2,0,2,0,1.73
21,17037,https://www.airbnb.com/rooms/17037,20241104040953,2024-11-04,city scrape,Lovely EV Artist's Home,I am happy to host responsible visitors as my guests.  I am careful to make sure it is the right match for my home- Perfect for one or a couple but not more. This is an especially personable EV apt- please read the full description.  If you are interested please introduce yourselves and tell me a little bit about your stay in the city.  This is my home and it is important for me to know who is making the reservation.  Thank you.,"The neighborhood is friendly, active, and the best in Manhattan for a huge range of inexpensive international resto options.  All neighborhoods accessible on foot really from the LES.",https://a0.muscache.com/pictures/6477265/3746d647_original.jpg,66035,https://www.airbnb.com/users/show/66035,Anna,2009-12-27,"New York, NY","I am a video artist. I have lived in NY for 28 years, and traveled quite a lot.  I have had all good experiences with people happy to stay in my apt in the East Village, and a few return visits.  It is very much my home so i welcome responsible people who are happy to be here.  I am always reachable for any questions and have friends in the neighborhood who are welcoming and available for any extra assistance. ",within a few hours,100%,100%,f,https://a0.muscache.com/im/users/66035/profile_pic/1385011723/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/66035/profile_pic/1385011723/original.jpg?aki_policy=profile_x_medium,Alphabet City,1.0,2.0,"['email', 'phone']",t,t,Neighborhood highlights,East Village,Manhattan,40.72289,-73.98028,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Fire extinguisher"", ""Smoke alarm"", ""Air conditioning"", ""Paid parking off premises"", ""Wifi"", ""Hair dryer"", ""Free street parking"", ""Dryer"", ""TV"", ""Washer"", ""Heating"", ""Dishes and silverware"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Iron"", ""Hot water"", ""Refrigerator"", ""Shampoo"", ""Host greets you"", ""Luggage dropoff allowed"", ""Cooking basics"", ""Essentials"", ""Hangers"", ""First aid kit"", ""Kitchen""]",$230.00,30,90,30.0,30.0,90.0,90.0,30.0,90.0,,t,3,6,36,126,2024-11-04,54,1,0,2010-03-31,2024-06-06,4.8,4.75,4.9,4.98,4.98,4.57,4.56,,f,1,1,0,0,0.3
46,34760,https://www.airbnb.com/rooms/34760,20241104040953,2024-11-04,previous scrape,"Sunny Room, Historical Brooklyn Brownstone 30-days",Sunny Room in a lovely Brownstone in Fort Greene. Private room in house-shared with the host.,"This listing is recommended for travelers visiting NYC and expecting to explore the city all day, and looking for a cozy, comfortable place to call home when is time to sleep and take  a shower. The use of the kitchen is limited to a spot in the pantry and an Airbnb-dedicated small fridge in the dining room. We don't own a microwave. Other amenities in the house are restricted as well. Please always ask for help. Read the entire listing's description and rules for details.",https://a0.muscache.com/pictures/18669066/0fdcdaa5_original.jpg,149929,https://www.airbnb.com/users/show/149929,Obed,2010-06-22,"New York, NY",,within a few hours,100%,100%,t,https://a0.muscache.com/im/pictures/user/b7d05e3a-079b-45fb-9ea1-66c1c821e433.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b7d05e3a-079b-45fb-9ea1-66c1c821e433.jpg?aki_policy=profile_x_medium,Fort Greene,3.0,7.0,"['email', 'phone']",t,t,Neighborhood highlights,Fort Greene,Brooklyn,40.69101,-73.97378,Private room in townhouse,Private room,1,,2 shared baths,,,"[""Fire extinguisher"", ""Smoke alarm"", ""Gas stove"", ""Extra pillows and blankets"", ""Self check-in"", ""Wifi"", ""Hair dryer"", ""Free street parking"", ""Heating"", ""Dishes and silverware"", ""Long term stays allowed"", ""City skyline view"", ""Ceiling fan"", ""Carbon monoxide alarm"", ""Bed linens"", ""Dedicated workspace"", ""Iron"", ""Hot water"", ""Portable air conditioning"", ""Refrigerator"", ""Shampoo"", ""Luggage dropoff allowed"", ""Smart lock"", ""Cooking basics"", ""Essentials"", ""Exterior security cameras on property"", ""Dining table"", ""Hangers"", ""Mini fridge"", ""Kitchen"", ""Clothing storage: closet""]",,30,60,30.0,30.0,60.0,60.0,30.0,60.0,,t,2,24,41,41,2024-11-04,36,4,0,2017-06-01,2024-09-01,5.0,4.97,4.94,4.94,4.97,4.91,4.94,,f,3,1,2,0,0.4
47,36121,https://www.airbnb.com/rooms/36121,20241104040953,2024-11-04,city scrape,Lg Rm in Historic Prospect Heights,Cozy space share in the heart of a great neighborhood. I split my time between Brooklyn and the Hudson Valley. Am looking for someone to share the space who is also willing to water plants and get mail periodically.,"Full of tree-lined streets and beautiful brownstone buildings. Ethnically and racially mixed. Across the street, there is a small corner supermarket, an ice cream shop, dry cleaners, a bar, co-working space and Chinese take-out. Steps away from Prospect Park. Walking distance from Prospect Park, Brooklyn Museum, Brooklyn Botanical Garden, Brooklyn Academy of Music, great restaurants, cafes, bars, community gardens and shops.",https://a0.muscache.com/pictures/8776354/35b32b92_original.jpg,62165,https://www.airbnb.com/users/show/62165,Michael,2009-12-11,"New York, NY","I’m an urban planner working for an international sustainable transport NGO. When I’m home, I catch up on reading and maybe have a beer/glass of wine with a friend or two. I spend a lot of time thinking about cities and visiting them. I'm also always keen on diversifying my music listening.",,,,f,https://a0.muscache.com/im/users/62165/profile_pic/1278077777/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/62165/profile_pic/1278077777/original.jpg?aki_policy=profile_x_medium,Prospect Heights,1.0,3.0,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Prospect Heights,Brooklyn,40.67376,-73.96611,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Heating"", ""Dishes and silverware"", ""Elevator"", ""Refrigerator"", ""City skyline view"", ""Kitchen"", ""Wifi""]",$200.00,90,365,90.0,90.0,365.0,365.0,90.0,365.0,,t,27,57,87,362,2024-11-04,9,0,0,2010-12-11,2013-05-10,4.88,5.0,4.8,5.0,5.0,5.0,5.0,,f,1,0,1,0,0.05
122,80493,https://www.airbnb.com/rooms/80493,20241104040953,2024-11-04,city scrape,Cozy room in East Village with AC,"My beautiful, cozy apartment which I call home is located in the heart of the East Village -- a safe, busy neighborhood with tons of pubs, shops and the F train nearby! Everything you need to comfortably enjoy your stay will be provided: wifi, an in-unit laundry, tidy bathroom and TV fit with cable and Amazon Fire. The sunny front bedroom you'll stay in is separate and private. Note there are a lot of stairs and the room is small but doable for two guests.","People are easy going here, they're not in such an incredible hurry, and I love to go to Tompkins Park, on 7th Street, and people watch in the central area. It's diverse, relaxed, and still quirky - the East Village  and the Lower East Side are the best neighborhoods in NYC!",https://a0.muscache.com/pictures/miso/Hosting-80493/original/ea681d8a-c305-4788-bf97-22197fdf21e3.jpeg,434987,https://www.airbnb.com/users/show/434987,Jennifer,2011-03-10,"New York, NY","I'm a New York based writer and singer who does a lot of spoken word gigs, and often visits San Francisco. I have 4 pop type books published, I hang out at Double Down, Sidewalk Cafe,  and many other spots in the East Village. The Fry Guys and 99 Cents Pizza are right across the street.! My friend Remick, a Brooklyn based comedian, will be your host if I'm in California, the area has an amazing comedy venue scene, some of the top people!",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/3a2ed6a0-92ce-4860-b09d-4cd8ecd90d62.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/3a2ed6a0-92ce-4860-b09d-4cd8ecd90d62.jpg?aki_policy=profile_x_medium,Alphabet City,1.0,1.0,"['email', 'phone']",t,t,Neighborhood highlights,East Village,Manhattan,40.7226132,-73.9854593,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,2.0,"[""Lock on bedroom door"", ""Smoke alarm"", ""Stove"", ""35 inch HDTV with Amazon Prime Video, Fire TV, HBO Max, Hulu, Netflix, premium cable"", ""Free washer \u2013 In unit"", ""Extra pillows and blankets"", ""Wifi"", ""Hair dryer"", ""Clothing storage: dresser"", ""Body soap"", ""Books and reading material"", ""Dishes and silverware"", ""Microwave"", ""Conditioner"", ""Safe"", ""Carbon monoxide alarm"", ""Bed linens"", ""Portable fans"", ""Iron"", ""Hot water"", ""Cleaning products"", ""Hot water kettle"", ""Refrigerator"", ""Record player"", ""Coffee"", ""Shampoo"", ""Host greets you"", ""Bathtub"", ""Radiant heating"", ""Cooking basics"", ""Laundromat nearby"", ""Essentials"", ""Hangers"", ""First aid kit"", ""Freezer"", ""Kitchen"", ""Toaster"", ""Window AC unit"", ""Oven"", ""Free dryer \u2013 In unit""]",$70.00,30,30,30.0,30.0,30.0,30.0,30.0,30.0,,t,30,60,90,365,2024-11-04,233,2,0,2011-03-31,2024-02-01,4.41,4.48,3.94,4.86,4.79,4.84,4.5,,f,1,0,1,0,1.41
200,189135,https://www.airbnb.com/rooms/189135,20241104040953,2024-11-04,previous scrape,Hell's Kitchen Funky 80s Hideaway!,"Stay in the Heart of NYC. A 15 minute walk to Times Square, you'll be staying in one of the hippest neighborhoods in Manhattan -- Hell's Kitchen!! <br /><br />** I'm also Fully Vaccinated. I had my Pfizer double-shot. My 2nd dose was April 1st, 2021. I've also been triple-boosted**","Bursting with energy and devilish charisma, Hell's Kitchen continues to evolve as high-rises move in and crooked characters move out. This classic New York City neighborhood is near it all—theaters on Broadway, green lawns in Central Park, and revered mom-and-pop culinary mainstays. As a storied NYC haunt, Hell's Kitchen lives up to its unmistakable mystique.<br /><br />No visit to the neighborhood is complete without a visit to RUDY's Bar (9th Ave & 45th St) where you MUST order a blonde (or red head if you like them), and eat a few pigs. Just trust me on this... If you wanna nicer place to hang-out at, I recommend the PONY (10th Ave & 45th St). They have the best fried pickles in the city, and some Great selections of Craft beer, some of which are as high as 12% ABV!! <br /><br />Want some more ideas for restaurants, bars, clubs, and other fun places to visit in the hood? Just ask me!!",https://a0.muscache.com/pictures/69380466/304e850a_original.jpg,179020,https://www.airbnb.com/users/show/179020,Michael,2010-07-24,"New York, NY","Hi!  I'm an extroverted Native New Yorker with a deep appreciation for the arts who likes meeting interesting new people, so of course I love Airbnb!!  I truly love living in this multi-cultured and ever changing metropolis.  ** I'm also Fully Vaccinated. I had my Pfizer double-shot. My 2nd dose was April 1st, 2021. **

My girlfriend and I are experienced travelers, always looking for new adventures.  3 years ago we finally made it to Alaska.  We spent a month backpacking around the country (no, you can't just call it a state).  A high point was trekking through Denali and getting caught in the first snowstorm of the season.  Quite a story there. 

I'm a big thrifter and know how to live cheaply in this overly expensive city.  Wanna see a Broadway show?  Let me know as I might be able to get you cheap tickets.  I can also tell you about lots of other ways to see and do things inexpensively in this crazy town.

WELCOME TO NYC!",within a day,100%,68%,t,https://a0.muscache.com/im/users/179020/profile_pic/1426377250/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/179020/profile_pic/1426377250/original.jpg?aki_policy=profile_x_medium,Hell's Kitchen,1.0,2.0,"['email', 'phone']",t,t,Neighborhood highlights,Hell's Kitchen,Manhattan,40.76263,-73.99401,Private room in rental unit,Private room,2,,1 shared bath,1.0,,"[""Fire extinguisher"", ""Smoke alarm"", ""Sound system"", ""Other gas stove"", ""Extra pillows and blankets"", ""Hair dryer"", ""Shower gel"", ""Blender"", ""Body soap"", ""Books and reading material"", ""Heating"", ""Dishes and silverware"", ""Long term stays allowed"", ""Conditioner"", ""Carbon monoxide alarm"", ""Bed linens"", ""55 inch HDTV with Amazon Prime Video, Netflix"", ""Fast wifi \u2013 132 Mbps"", ""Baking sheet"", ""Iron"", ""Hot water"", ""Cleaning products"", ""Clothing storage"", ""Paid parking garage off premises"", ""Hot water kettle"", ""Refrigerator"", ""Room-darkening shades"", ""Wine glasses"", ""Record player"", ""Shampoo"", ""Host greets you"", ""Bathtub"", ""Luggage dropoff allowed"", ""Cooking basics"", ""Laundromat nearby"", ""Essentials"", ""Hangers"", ""First aid kit"", ""Freezer"", ""Mini fridge"", ""Toaster"", ""Window AC unit"", ""Oven"", ""Bikes""]",,2,30,2.0,2.0,30.0,30.0,2.0,30.0,,t,25,45,75,75,2024-11-04,174,39,3,2012-03-05,2024-10-19,4.78,4.78,4.79,4.97,4.95,4.84,4.72,OSE-STRREG-0000758,f,1,0,1,0,1.13
337,298759,https://www.airbnb.com/rooms/298759,20241104040953,2024-11-04,city scrape,Large Double Room  Queenbed Wifi,"Bathroom and Kitchen are mindfully shared within this 3 bedroom apt.<br />All bedrooms are completely private key lock.<br />This is a strict ""leave No trace"" environment.  especially in Bathroom users will find a spotless clean tub/shower, sink & toilet.",,https://a0.muscache.com/pictures/miso/Hosting-298759/original/c87d8de4-3c38-4fa7-87a6-127feaf93f24.jpeg,1539749,https://www.airbnb.com/users/show/1539749,Edward,2011-12-27,"New York, NY","Music theater Production
I Use Airbnb because the Automated Service allows the reclaiming my time. 
I have 7 listings and lots of inquiries.  My photos are Accurate. I do not have time to show rooms prior to making a reservation.",within a few hours,100%,93%,f,https://a0.muscache.com/im/pictures/user/e2cc238b-8463-447a-83e7-4ee2dac5f936.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/e2cc238b-8463-447a-83e7-4ee2dac5f936.jpg?aki_policy=profile_x_medium,Bedford-Stuyvesant,4.0,6.0,"['email', 'phone']",t,f,,Bedford-Stuyvesant,Brooklyn,40.68435,-73.94825,Private room in rental unit,Private room,2,1.0,1 shared bath,2.0,1.0,"[""Fire extinguisher"", ""Smoke alarm"", ""Air conditioning"", ""Self check-in"", ""Wifi"", ""Hair dryer"", ""Free street parking"", ""Heating"", ""Dishes and silverware"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Iron"", ""Hot water"", ""Coffee maker"", ""Keypad"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Cooking basics"", ""Essentials"", ""Exterior security cameras on property"", ""Hangers"", ""First aid kit"", ""Kitchen""]",$55.00,30,90,30.0,30.0,90.0,90.0,30.0,90.0,,t,0,13,43,318,2024-11-04,48,4,0,2012-09-02,2024-08-31,4.63,4.92,4.73,4.85,4.73,4.58,4.52,,f,4,0,4,0,0.32
353,318021,https://www.airbnb.com/rooms/318021,20241104040953,2024-11-04,city scrape,Room in Huge 1200sf W Harlem Suite,,,https://a0.muscache.com/pictures/8191291/0d4d7293_original.jpg,1632149,https://www.airbnb.com/users/show/1632149,Michael,2012-01-20,"New York, NY","I am a professional chef with a huge 1200 sqft co-op suite in the Central Park North section of Harlem. I am a people person who likes traveling, cooking, music and spending time with good friends. I like people who are friendly by nature, responsible, easy to get along with, organized and tidy.",within a few hours,100%,100%,t,https://a0.muscache.com/im/users/1632149/profile_pic/1327117048/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1632149/profile_pic/1327117048/original.jpg?aki_policy=profile_x_medium,Harlem,1.0,1.0,"['email', 'phone']",t,t,,Harlem,Manhattan,40.80272,-73.95316,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Fire extinguisher"", ""Smoke alarm"", ""Stove"", ""Air conditioning"", ""Wifi"", ""Hair dryer"", ""Dryer"", ""TV with standard cable"", ""Washer"", ""Heating"", ""Microwave"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Bed linens"", ""Iron"", ""Hot water"", ""Coffee maker"", ""Refrigerator"", ""Cooking basics"", ""Elevator"", ""Essentials"", ""Hangers"", ""Kitchen"", ""Oven""]",$110.00,30,60,30.0,30.0,60.0,60.0,30.0,60.0,,t,10,30,30,140,2024-11-04,96,8,0,2012-10-11,2024-08-30,4.97,4.99,5.0,4.98,4.98,4.81,4.97,,f,1,0,1,0,0.65
449,478832,https://www.airbnb.com/rooms/478832,20241104040953,2024-11-04,previous scrape,Gorgeous 2 bdrm in Carroll Gardens,This beautiful light-filled apartment feels like a peaceful oasis in the city. If offers the comfort & security of a full-service condo building and a prime location in one of the loveliest neighborhoods in Brooklyn. Less than 1 block from the metro.,"THE NEIGHBORHOOD:<br /><br />Carroll Gardens is truly a gem of a neighborhood. It is the very picture of the kind of charming and unique local culture that makes Brooklyn so desirable. It is characterized by its locally-owned businesses (from long-standing Italian eateries to trendy new restaurants), excellent schools, well-tended parks, a plethora of restaurants and bars, and block after block of tree-lined streets with beautiful brownstones.  <br /><br />Within a radius of a few blocks of our building you will find multiple grocers (including organic and health food purveyors), wine shops, yoga and pilates studios, boutiques and antique stores, Italian bakeries and gelato stands. And you are steps away from every kind of restaurant and café and bar you could want -- from hot new spots to long-standing family-run establishments, loads of authentic Italian fare, Thai, Ethiopian, Mexican, Japanese, French, Southern, Middle Eastern, fabulous brunch joints, juice bars, vegan joints, choco",https://a0.muscache.com/pictures/47094415/5983335d_original.jpg,2371814,https://www.airbnb.com/users/show/2371814,Jennifer,2012-05-14,"Philadelphia, PA","I'm a writer and professor. I write about experimental and political art, social movements, and social theory. I grew up in Denver; I've lived in Brooklyn, Cambridge, L.A., Buenos Aires, and, now, Philadelphia.  I love to travel and have spent time in many places in Latin America, as well as some places in Europe and Southeast Asia.  I'm a very easy-going guest; usually, I want to be out and about, and if I stay in, it's to read or write. ",,,,f,https://a0.muscache.com/im/users/2371814/profile_pic/1389318688/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2371814/profile_pic/1389318688/original.jpg?aki_policy=profile_x_medium,Carroll Gardens,1.0,1.0,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Carroll Gardens,Brooklyn,40.6748,-74.00032,Entire rental unit,Entire home/apt,4,,1 bath,2.0,,"[""TV with standard cable"", ""Washer"", ""Heating"", ""Smoke alarm"", ""Fire extinguisher"", ""Elevator"", ""Essentials"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Kitchen"", ""Wifi"", ""Dryer"", ""Gym""]",,30,300,30.0,30.0,300.0,300.0,30.0,300.0,,t,0,0,0,0,2024-11-04,1,0,0,2013-01-07,2013-01-07,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0,0.01
